InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
547331,10247,RETRO WALL CLOCK,20,2023-04-16 00:19:19,23.53,12429,Belgium
543983,10027,METAL TEA TOWEL,7,2023-09-04 01:01:07,25.1,12530,United Kingdom
538688,10224,FLORAL WIND CHIME,3,2024-07-29 16:10:00,22.43,12358,United Kingdom
537264,10100,RUSTIC TEA TOWEL,11,2023-12-28 19:26:36,44.16,12065,Sweden
537051,10158,FLORAL MUG,3,2024-09-18 12:08:57,19.48,12397,United Kingdom
538117,10166,MODERN BAKING TIN,22,2023-10-27 21:40:29,13.44,12562,Canada
541778,10242,VINTAGE STRING LIGHTS,14,2023-08-15 12:06:57,10.85,12406,Germany
543757,10245,MINI NIGHT LIGHT,14,2023-11-05 04:35:25,35.73,12627,Germany
539655,10138,MODERN TOY CAR,4,2023-03-16 04:09:49,44.68,12584,Australia
C542702,10003,RETRO CANDLE HOLDER,-7,2023-10-31 13:20:37,11.59,12027,United Kingdom
543544,10200,MINI CAKE STAND,13,2024-06-15 11:09:20,18.58,12560,United Kingdom
542301,10241,PASTEL GARDEN SIGN,3,2024-05-22 05:43:36,38.02,12078,Norway
540485,10023,MINI GARDEN SIGN,13,2024-07-07 10:18:40,33.06,12105,Spain
543385,10248,WOODEN WALL CLOCK,10,2023-03-20 15:02:48,46.68,12023,France
546754,10153,VINTAGE SPINNING TOP,3,2024-01-17 01:10:38,19.96,12278,Ireland
538342,10043,RUSTIC TOY CAR,2,2023-05-13 10:55:16,13.87,12106,Germany
544378,10117,PASTEL LANTERN,13,2024-10-15 07:57:29,16.28,12480,Netherlands
538727,10169,VINTAGE WALL ART,6,2023-07-19 21:47:32,46.5,12238,United Kingdom
545972,10097,MINI PHOTO FRAME,2,2023-09-20 00:45:44,34.37,12555,France
536698,10098,STRIPED FAIRY LIGHTS,7,2024-12-10 17:34:31,39.18,12617,Germany
537762,10119,CERAMIC BUILDING BLOCKS,15,2023-04-29 12:44:35,35.11,12396,Italy
538287,10105,FLORAL BUILDING BLOCKS,1,2023-02-06 19:38:21,41.17,12253,United Kingdom
544735,10079,WOODEN CANDLE HOLDER,24,2023-03-14 01:53:03,31.37,12526,United Kingdom
545061,10183,PASTEL BAKING TIN,13,2023-02-18 06:05:48,30.84,12783,Italy
541798,10138,MODERN TOY CAR,4,2024-06-12 15:22:03,44.68,12555,France
542580,10166,MODERN BAKING TIN,16,2023-12-18 02:28:23,13.44,12211,United Kingdom
546900,10157,RUSTIC VASE,20,2024-05-01 17:31:43,43.45,12740,Ireland
539688,10216,RUSTIC PLANT POT,9,2024-03-16 18:04:04,0.98,12258,Germany
547176,10233,PASTEL PENCIL CASE,18,2023-05-08 15:36:52,22.27,12703,United Kingdom
538316,10134,MODERN TEA TOWEL,22,2024-12-25 12:15:11,26.3,12428,United Kingdom
541920,10176,CERAMIC NOTEBOOK,9,2023-02-01 16:50:33,41.26,12689,France
541358,10238,FLORAL PHOTO FRAME,23,2023-11-06 21:33:13,16.74,12107,United Kingdom
541179,10224,FLORAL WIND CHIME,13,2024-12-05 22:59:16,22.43,12758,United Kingdom
540708,10108,CLASSIC GREETING CARD,13,2023-03-10 20:42:52,25.88,12792,Spain
536718,10008,RETRO CAKE STAND,12,2023-07-08 05:47:05,5.41,12252,United Kingdom
538676,10146,STRIPED SPINNING TOP,10,2023-02-21 01:55:31,27.51,12299,Germany
541369,10157,RUSTIC VASE,21,2024-04-07 02:54:21,43.45,,Germany
544196,10197,MINI WATERING CAN,19,2024-02-15 14:45:00,11.48,12108,Switzerland
538688,10202,VINTAGE NOTEBOOK,12,2024-07-29 16:10:00,28.04,12358,United Kingdom
541148,10014,MINI NOTEBOOK,1,2023-04-16 13:01:30,43.43,12774,Italy
542483,10133,RETRO FAIRY LIGHTS,17,2024-04-09 21:19:12,39.1,12723,United Kingdom
537841,10226,METAL STICKER SET,15,2024-04-26 07:33:04,25.12,12438,United Kingdom
546854,10151,MODERN TOY CAR,19,2024-08-07 16:31:27,36.95,12454,United Kingdom
547352,10044,MINI BIRD FEEDER,23,2023-06-14 10:41:03,46.5,12272,Germany
539057,10030,WOODEN TOY CAR,21,2023-08-01 14:11:32,26.85,12185,United Kingdom
542365,10031,CLASSIC PLANT POT,14,2024-12-11 22:05:37,36.27,12280,United Kingdom
544278,10034,MODERN WOODEN TOY,13,2024-02-05 02:37:50,43.89,12494,Spain
540183,10235,CLASSIC GREETING CARD,21,2023-12-16 13:43:44,5.99,12077,Netherlands
543358,10213,PASTEL STICKER SET,6,2023-04-21 10:06:52,3.81,12112,United Kingdom
544192,10001,RUSTIC TEA TOWEL,5,2023-12-19 10:46:07,37.04,12570,United Kingdom
547367,10126,CLASSIC TABLE LAMP,18,2024-01-29 06:29:28,5.02,12070,Canada
540440,10143,FLORAL PENCIL CASE,14,2023-11-13 14:29:54,17.35,12335,Switzerland
543522,10234,WOODEN WOODEN TOY,24,2024-06-18 04:38:37,17.95,12767,United Kingdom
544900,10136,RUSTIC VASE,7,2024-06-29 11:14:54,40.23,12199,Netherlands
538997,10083,MODERN TOY CAR,21,2024-05-21 09:06:09,15.72,12736,United Kingdom
546586,10058,MINI NOTEBOOK,9,2024-06-26 06:56:29,10.26,12224,Germany
543028,10046,WOODEN LANTERN,12,2024-06-13 23:26:21,45.06,12733,United Kingdom
546212,10008,RETRO CAKE STAND,14,2023-04-23 08:33:09,5.41,12707,Canada
541217,10205,WOODEN SPINNING TOP,18,2024-04-05 06:05:11,17.59,12632,United Kingdom
537736,10129,VINTAGE MUG,16,2024-01-09 19:44:11,12.88,12056,Netherlands
542340,10248,WOODEN WALL CLOCK,2,2024-12-06 11:13:51,46.68,12106,Germany
536634,10177,STRIPED VASE,13,2023-12-22 20:47:53,32.08,12662,Portugal
538174,10170,CERAMIC BIRD FEEDER,22,2024-12-29 23:08:23,47.11,12737,Belgium
540312,10049,VINTAGE WATERING CAN,10,2023-04-27 08:24:02,4.34,12664,United Kingdom
541918,10025,METAL LUNCH BOX,24,2024-10-22 11:47:30,13.76,12650,Belgium
539370,10202,VINTAGE NOTEBOOK,16,2023-03-17 10:50:48,28.04,12113,Ireland
544301,10061,METAL VASE,12,2024-09-28 17:15:33,5.66,12580,United Kingdom
547240,10154,MODERN STRING LIGHTS,13,2024-10-21 16:15:17,8.96,,United Kingdom
541102,10051,RETRO PHOTO FRAME,23,2024-03-19 12:40:05,26.12,12008,Sweden
539422,10128,MINI CAKE STAND,10,2023-08-29 22:49:48,40.48,12304,United Kingdom
539422,10197,MINI WATERING CAN,4,2023-08-29 22:49:48,11.48,12304,United Kingdom
545683,10193,METAL TOY CAR,5,2024-12-02 09:23:45,17.74,12538,United Kingdom
544638,10207,WOODEN VASE,11,2023-06-04 02:20:23,4.49,12381,United Kingdom
537551,10208,RUSTIC FAIRY LIGHTS,13,2024-11-07 08:51:17,8.18,12683,Norway
540072,10184,VINTAGE BUILDING BLOCKS,13,2024-02-17 15:22:09,25.14,12232,Ireland
543608,10033,FLORAL NOTEBOOK,8,2024-08-10 18:27:59,22.21,12236,United Kingdom
C542755,10195,FLORAL BUILDING BLOCKS,-24,2023-01-19 20:17:07,13.2,12116,United Kingdom
538747,10093,METAL BIRD FEEDER,21,2023-02-01 20:40:25,1.33,12595,Australia
542888,10061,METAL VASE,7,2024-06-05 03:14:46,5.66,12238,United Kingdom
541474,10171,PASTEL MUG,9,2024-05-16 01:59:18,34.79,12136,Switzerland
539353,10232,METAL BAKING TIN,6,2024-12-07 17:41:40,32.87,12526,United Kingdom
536943,10067,CLASSIC NIGHT LIGHT,23,2023-09-17 05:47:53,36.15,12091,United Kingdom
537156,10194,STRIPED NIGHT LIGHT,4,2024-04-01 10:32:29,18.14,12640,Germany
537919,10001,RUSTIC TEA TOWEL,13,2024-02-10 13:35:13,37.04,12371,Germany
543379,10216,RUSTIC PLANT POT,17,2023-08-08 15:02:59,0.98,12173,Germany
541423,10036,CLASSIC PHOTO FRAME,13,2023-06-17 14:49:55,25.8,12520,France
542323,10247,RETRO WALL CLOCK,21,2024-11-10 05:24:45,23.53,12437,Spain
539230,10232,METAL BAKING TIN,7,2024-03-19 13:17:51,32.87,12382,Ireland
541158,10226,METAL STICKER SET,9,2024-09-25 21:36:56,25.12,12479,United Kingdom
546274,10123,PASTEL BAKING TIN,11,2024-05-18 00:18:45,30.66,12581,Norway
541625,10231,PASTEL LANTERN,9,2023-05-22 19:33:23,2.83,12728,Australia
538697,10187,METAL LANTERN,16,2024-02-15 14:08:46,1.35,12509,United Kingdom
538464,10204,VINTAGE WOODEN TOY,6,2024-04-03 08:29:15,29.06,12450,United Kingdom
538306,10240,CERAMIC BIRD FEEDER,4,2023-06-11 10:04:41,3.51,12090,Ireland
537390,10231,PASTEL LANTERN,5,2024-10-26 01:48:45,2.83,12433,United Kingdom
538854,10218,MODERN CAKE STAND,17,2024-01-23 02:29:48,14.74,12520,France
543408,10088,MODERN WATERING CAN,6,2023-06-11 02:16:31,17.7,12625,United Kingdom
539119,10179,PASTEL GARDEN SIGN,12,2023-03-26 03:22:16,40.56,12558,Germany
C546810,10114,VINTAGE CAKE STAND,-21,2023-02-27 06:33:57,35.68,12321,Belgium
536450,10121,PASTEL PUZZLE,5,2024-06-13 21:07:29,28.82,12785,USA
546432,10228,PASTEL LANTERN,13,2023-10-28 08:06:01,13.15,,United Kingdom
545076,10232,METAL BAKING TIN,19,2024-07-09 10:58:24,32.87,12196,Sweden
540665,10128,MINI CAKE STAND,16,2023-05-13 13:06:04,40.48,12237,Sweden
545255,10093,METAL BIRD FEEDER,19,2024-05-14 05:01:16,1.33,12551,Germany
542763,10177,STRIPED VASE,7,2024-07-13 20:13:28,32.08,12759,France
539877,10172,RETRO TABLE LAMP,4,2024-07-16 23:21:01,35.11,12672,United Kingdom
C539556,10011,METAL WOODEN TOY,-14,2024-09-01 08:50:19,15.26,12723,United Kingdom
538356,10099,MODERN TOY CAR,21,2024-02-23 12:47:02,8.44,12644,United Kingdom
542866,10241,PASTEL GARDEN SIGN,1,2024-03-15 00:43:40,38.02,12180,United Kingdom
540229,10234,WOODEN WOODEN TOY,7,2024-08-31 20:28:37,17.95,12109,United Kingdom
544665,10157,RUSTIC VASE,24,2023-11-14 09:39:28,43.45,12410,Italy
543139,10112,CERAMIC GREETING CARD,21,2024-01-30 01:40:23,30.64,12628,Ireland
541496,10192,CLASSIC CAKE STAND,5,2024-05-31 03:20:40,29.43,12753,United Kingdom
542396,10099,MODERN TOY CAR,17,2024-12-05 05:29:33,8.44,12036,United Kingdom
539558,10108,CLASSIC GREETING CARD,5,2024-12-20 10:27:35,25.88,12064,Belgium
539153,10244,RETRO STRING LIGHTS,4,2024-05-05 13:32:05,2.27,12001,Canada
538838,10232,METAL BAKING TIN,11,2023-12-03 17:59:25,32.87,12722,Portugal
544297,10181,FLORAL NIGHT LIGHT,6,2024-08-21 13:36:34,16.69,12114,Ireland
540334,10081,RUSTIC GARDEN SIGN,7,2023-06-06 21:28:57,46.71,12693,Ireland
544338,10228,PASTEL LANTERN,5,2024-09-07 13:26:37,13.15,12678,United Kingdom
537215,10233,PASTEL PENCIL CASE,15,2024-03-07 16:35:57,22.27,12553,Belgium
545731,10192,CLASSIC CAKE STAND,23,2023-06-09 09:21:34,29.43,12633,USA
539152,10086,RETRO CAKE STAND,20,2024-03-23 22:18:40,44.57,12344,United Kingdom
538282,10036,CLASSIC PHOTO FRAME,8,2023-09-06 15:42:31,25.8,12578,United Kingdom
544015,10060,MINI GIFT WRAP,21,2024-04-02 04:18:27,43.82,12054,USA
538338,10036,CLASSIC PHOTO FRAME,7,2023-04-17 09:55:38,25.8,12510,Ireland
542361,10035,RUSTIC STICKER SET,12,2024-10-24 19:14:56,25.8,12284,Canada
544451,10085,CLASSIC GARDEN SIGN,20,2023-04-17 20:54:50,5.94,12774,Italy
547289,10176,CERAMIC NOTEBOOK,7,2024-11-21 20:09:39,41.26,12341,Australia
545557,10157,RUSTIC VASE,5,2024-03-05 04:07:00,43.45,12039,Canada
539683,10052,MINI GIFT WRAP,6,2023-08-01 21:46:41,27.35,12481,France
547076,10068,FLORAL TEA TOWEL,23,2023-07-28 06:19:42,11.55,12435,Ireland
543773,10096,FLORAL MUG,23,2023-10-31 07:44:52,18.77,12294,United Kingdom
546865,10112,CERAMIC GREETING CARD,15,2023-05-28 17:15:51,30.64,12145,United Kingdom
542629,10121,PASTEL PUZZLE,2,2023-09-29 04:41:10,28.82,12428,United Kingdom
539948,10199,FLORAL WIND CHIME,1,2024-10-27 23:04:56,49.03,12043,Ireland
547142,10006,VINTAGE GARDEN SIGN,7,2024-04-26 09:47:36,38.14,12350,Ireland
546293,10174,STRIPED PLANT POT,23,2024-12-05 06:37:11,27.03,12505,United Kingdom
542367,10177,STRIPED VASE,7,2024-06-12 09:58:10,32.08,12728,Australia
547040,10074,PASTEL WATERING CAN,24,2024-12-01 03:52:43,30.06,,United Kingdom
547183,10195,FLORAL BUILDING BLOCKS,24,2023-03-05 16:34:39,13.2,12495,United Kingdom
540708,10011,METAL WOODEN TOY,8,2023-03-10 20:42:52,15.26,12792,Spain
545704,10042,RUSTIC WALL ART,19,2024-07-07 17:15:06,7.16,12417,Ireland
543020,10219,CLASSIC WOODEN TOY,10,2024-09-19 14:00:18,12.32,12423,United Kingdom
541928,10013,VINTAGE FAIRY LIGHTS,17,2024-10-08 23:16:57,33.34,12742,United Kingdom
542884,10030,WOODEN TOY CAR,18,2023-05-26 19:15:30,26.85,12211,United Kingdom
546638,10177,STRIPED VASE,10,2024-05-16 05:31:21,32.08,12532,Switzerland
544611,10141,METAL CAKE STAND,12,2024-04-22 01:38:24,24.66,12594,United Kingdom
